season_year,estimated_week,team_code,change_type,player_name,draft_round,draft_pick,confidence,estimation_method
2011,1,PCX,added,Greg Little,,,low,weekly_distribution_weighting
2011,2,PCX,added,Kendall Hunter,,,low,weekly_distribution_weighting
2011,7,PCX,added,Joe Flacco,,,low,weekly_distribution_weighting
2011,15,PCX,added,Donald Brown,,,low,weekly_distribution_weighting
2011,13,PCX,added,Kevin Smith,,,low,weekly_distribution_weighting
2011,7,PCX,added,Javon Ringer,,,low,weekly_distribution_weighting
2011,12,PCX,added,Danny Woodhead,,,low,weekly_distribution_weighting
2011,14,PCX,added,Nate Washington,,,low,weekly_distribution_weighting
2011,17,PCX,added,Michael Vick,,,low,weekly_distribution_weighting
2011,12,PCX,added,Peyton Hillis,,,low,weekly_distribution_weighting
2011,6,PCX,added,DeSean Jackson,,,low,weekly_distribution_weighting
2011,3,PCX,added,Steve Johnson,,,low,weekly_distribution_weighting
2011,2,PCX,added,Ryan Longwell,,,low,weekly_distribution_weighting
2011,3,PCX,added,Chargers D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,11,PCX,added,Eagles D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,7,PCX,added,Aaron Hernandez,,,low,weekly_distribution_weighting
2011,2,GFM,added,Lions D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,8,GFM,added,Titus Young,,,low,weekly_distribution_weighting
2011,6,GFM,added,Tim Tebow,,,low,weekly_distribution_weighting
2011,10,GFM,added,Matt Moore,,,low,weekly_distribution_weighting
2011,6,GFM,added,Jackie Battle,,,low,weekly_distribution_weighting
2011,7,GFM,added,Jason Hanson,,,low,weekly_distribution_weighting
2011,10,GFM,added,Denarius Moore,,,low,weekly_distribution_weighting
2011,6,GFM,added,Randall Cobb,,,low,weekly_distribution_weighting
2011,5,GFM,added,Riley Cooper,,,low,weekly_distribution_weighting
2011,7,GFM,added,Donald Driver,,,low,weekly_distribution_weighting
2011,6,GFM,added,Broncos D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,10,GFM,dropped,James Jones,11.0,2.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,6,GFM,dropped,Vikings D/ST,15.0,2.0,high,late_round_early_drop_pattern+defense_streaming_pattern+weekly_distribution_weighting
2011,13,GFM,dropped,Daniel Thomas,7.0,2.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,2,GFM,dropped,Josh Freeman,8.0,11.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,8,GFM,dropped,Sidney Rice,6.0,11.0,medium,early_round_injury_pattern+weekly_distribution_weighting
2011,5,GFM,dropped,Kevin Kolb,9.0,2.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,16,GFM,dropped,LaDainian Tomlinson,13.0,2.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,17,GFM,dropped,Alex Henery,14.0,11.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,12,GFM,dropped,Roy Helu,10.0,11.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,9,GFM,dropped,Bernard Berrian,16.0,11.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,8,GFM,dropped,Brandon Marshall,4.0,11.0,medium,early_round_injury_pattern+weekly_distribution_weighting
2011,7,2SCM,added,Demaryius Thomas,,,low,weekly_distribution_weighting
2011,6,2SCM,added,Greg Olsen,,,low,weekly_distribution_weighting
2011,8,2SCM,added,49ers D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,17,2SCM,added,Ryan Fitzpatrick,,,low,weekly_distribution_weighting
2011,6,2SCM,added,Pierre Garcon,,,low,weekly_distribution_weighting
2011,2,2SCM,added,Rex Grossman,,,low,weekly_distribution_weighting
2011,7,2SCM,added,Marques Colston,,,low,weekly_distribution_weighting
2011,8,2SCM,added,Victor Cruz,,,low,weekly_distribution_weighting
2011,10,2SCM,added,Nick Folk,,,low,weekly_distribution_weighting
2011,8,2SCM,added,David Akers,,,low,weekly_distribution_weighting
2011,8,2SCM,dropped,Plaxico Burress,8.0,10.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,13,2SCM,dropped,Wes Welker,5.0,3.0,medium,early_round_injury_pattern+weekly_distribution_weighting
2011,10,2SCM,dropped,Mark Sanchez,11.0,3.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,12,2SCM,dropped,Garrett Hartley,13.0,3.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,12,2SCM,dropped,Eagles D/ST,9.0,3.0,high,mid_round_general_pattern+defense_streaming_pattern+weekly_distribution_weighting
2011,7,2SCM,dropped,Toby Gerhart,14.0,10.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,14,2SCM,dropped,Donald Driver,12.0,10.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,6,2SCM,dropped,Mike Tolbert,10.0,10.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,4,2SCM,dropped,Jerome Simpson,15.0,3.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,3,2SCM,dropped,Brandon Pettigrew,16.0,10.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,10,BBWZ,added,Maurice Morris,,,low,weekly_distribution_weighting
2011,11,BBWZ,added,Malcom Floyd,,,low,weekly_distribution_weighting
2011,5,BBWZ,added,Harry Douglas,,,low,weekly_distribution_weighting
2011,6,BBWZ,added,Redskins D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,8,BBWZ,added,Kyle Williams,,,low,weekly_distribution_weighting
2011,15,BBWZ,added,Antonio Brown,,,low,weekly_distribution_weighting
2011,1,BBWZ,added,Jake Locker,,,low,weekly_distribution_weighting
2011,10,BBWZ,added,Roy Helu,,,low,weekly_distribution_weighting
2011,17,BBWZ,added,Reggie Bush,,,low,weekly_distribution_weighting
2011,7,BBWZ,added,Laurent Robinson,,,low,weekly_distribution_weighting
2011,8,BBWZ,dropped,Marcedes Lewis,8.0,9.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,2,BBWZ,dropped,Danny Woodhead,13.0,4.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,5,BBWZ,dropped,Giants D/ST,10.0,9.0,high,mid_round_general_pattern+defense_streaming_pattern+weekly_distribution_weighting
2011,15,BBWZ,dropped,Jahvid Best,4.0,9.0,medium,early_round_injury_pattern+weekly_distribution_weighting
2011,7,BBWZ,dropped,Lee Evans,9.0,4.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,5,BBWZ,dropped,Hines Ward,7.0,4.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,13,BBWZ,dropped,Mike Sims-Walker,11.0,4.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,15,BBWZ,dropped,Ryan Williams,16.0,9.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,2,BBWZ,dropped,Colt McCoy,15.0,4.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,14,BBWZ,dropped,Joseph Addai,6.0,9.0,medium,early_round_injury_pattern+weekly_distribution_weighting
2011,2,SSS,added,Deion Branch,,,low,weekly_distribution_weighting
2011,10,SSS,added,Darrius Heyward-Bey,,,low,weekly_distribution_weighting
2011,11,SSS,added,Shonn Greene,,,low,weekly_distribution_weighting
2011,12,SSS,added,Steve Smith,,,low,weekly_distribution_weighting
2011,7,SSS,added,Michael Turner,,,low,weekly_distribution_weighting
2011,7,SSS,added,Eric Decker,,,low,weekly_distribution_weighting
2011,10,SSS,added,Michael Crabtree,,,low,weekly_distribution_weighting
2011,15,SSS,added,Dan Bailey,,,low,weekly_distribution_weighting
2011,13,SSS,added,Ricky Williams,,,low,weekly_distribution_weighting
2011,16,SSS,added,Alex Smith,,,low,weekly_distribution_weighting
2011,7,SSS,added,Beanie Wells,,,low,weekly_distribution_weighting
2011,3,SSS,added,Dustin Keller,,,low,weekly_distribution_weighting
2011,11,SSS,added,Santonio Holmes,,,low,weekly_distribution_weighting
2011,10,SSS,added,Packers D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,4,SSS,added,Owen Daniels,,,low,weekly_distribution_weighting
2011,2,SSS,added,Drew Brees,,,low,weekly_distribution_weighting
2011,12,PITB,added,Mark Sanchez,,,low,weekly_distribution_weighting
2011,2,PITB,added,Chris Ogbonnaya,,,low,weekly_distribution_weighting
2011,10,PITB,added,Damian Williams,,,low,weekly_distribution_weighting
2011,12,PITB,added,Doug Baldwin,,,low,weekly_distribution_weighting
2011,15,PITB,added,Cowboys D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,13,PITB,added,Darren Sproles,,,low,weekly_distribution_weighting
2011,2,PITB,added,Ryan Grant,,,low,weekly_distribution_weighting
2011,16,PITB,dropped,Robert Meachem,11.0,6.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,7,PITB,dropped,Tashard Choice,14.0,7.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,15,PITB,dropped,Sam Bradford,8.0,7.0,medium,mid_round_general_pattern+weekly_distribution_weighting
2011,1,PITB,dropped,Austin Collie,4.0,7.0,medium,early_round_injury_pattern+weekly_distribution_weighting
2011,9,PITB,dropped,Saints D/ST,10.0,7.0,high,mid_round_general_pattern+defense_streaming_pattern+weekly_distribution_weighting
2011,1,PITB,dropped,Dexter McCluster,16.0,7.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,16,PITB,dropped,Marion Barber,13.0,6.0,medium,late_round_early_drop_pattern+weekly_distribution_weighting
2011,12,JAGB,added,Anquan Boldin,,,low,weekly_distribution_weighting
2011,6,JAGB,added,Raiders D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,8,JAGB,added,Lance Ball,,,low,weekly_distribution_weighting
2011,10,JAGB,added,Lance Moore,,,low,weekly_distribution_weighting
2011,10,JAGB,added,Jacoby Jones,,,low,weekly_distribution_weighting
2011,11,JAGB,added,Brent Celek,,,low,weekly_distribution_weighting
2011,8,JAGB,added,Brandon Jacobs,,,low,weekly_distribution_weighting
2011,9,JAGB,added,Jets D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,1,JAGB,added,Texans D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,8,JAGB,added,Julio Jones,,,low,weekly_distribution_weighting
2011,11,JAGB,added,Tom Brady,,,low,weekly_distribution_weighting
2011,3,JAGB,added,John Kasay,,,low,weekly_distribution_weighting
2011,5,JAGB,added,Nate Burleson,,,low,weekly_distribution_weighting
2011,5,JAGB,added,Ben Tate,,,low,weekly_distribution_weighting
2011,11,JAGB,added,Devery Henderson,,,low,weekly_distribution_weighting
2011,6,JAGB,added,Rashard Mendenhall,,,low,weekly_distribution_weighting
2011,8,JACK,added,Matt Forte,,,low,weekly_distribution_weighting
2011,11,JACK,added,Wes Welker,,,low,weekly_distribution_weighting
2011,8,JACK,added,Kevin Walter,,,low,weekly_distribution_weighting
2011,4,JACK,added,Alex Henery,,,low,weekly_distribution_weighting
2011,16,JACK,added,Brandon Pettigrew,,,low,weekly_distribution_weighting
2011,9,JACK,added,Jordy Nelson,,,low,weekly_distribution_weighting
2011,15,JACK,added,Steve Breaston,,,low,weekly_distribution_weighting
2011,1,JACK,added,Neil Rackers,,,low,weekly_distribution_weighting
2011,2,JACK,added,Giants D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,2,JACK,added,Daniel Thomas,,,low,weekly_distribution_weighting
2011,12,JACK,added,Jake Ballard,,,low,weekly_distribution_weighting
2011,15,JACK,added,Jerome Simpson,,,low,weekly_distribution_weighting
2011,10,JACK,added,Eli Manning,,,low,weekly_distribution_weighting
2011,13,JACK,added,Kahlil Bell,,,low,weekly_distribution_weighting
2011,8,JACK,added,Chris Johnson,,,low,weekly_distribution_weighting
2011,2,JACK,added,Brandon Marshall,,,low,weekly_distribution_weighting
2011,13,CHLK,added,Steelers D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
2011,13,CHLK,added,Matthew Stafford,,,low,weekly_distribution_weighting
2011,12,CHLK,added,Patriots D/ST,,,low,defense_streaming_pattern+weekly_distribution_weighting
