season_year,team_code,team_draft_code,change_type,player_name,draft_round,draft_pick,final_slot,final_is_starter
2011,PCX,DPCX,added,Greg Little,,,Bench,False
2011,PCX,DPCX,added,Kendall Hunter,,,Bench,False
2011,PCX,DPCX,added,Joe Flacco,,,Bench,False
2011,PCX,DPCX,added,Donald Brown,,,Bench,False
2011,PCX,DPCX,added,Kevin Smith,,,RB,True
2011,PCX,DPCX,added,Javon Ringer,,,Bench,False
2011,PCX,DPCX,added,Danny Woodhead,,,Bench,False
2011,PCX,DPCX,added,Nate Washington,,,WR,True
2011,PCX,DPCX,added,Michael Vick,,,QB,True
2011,PCX,DPCX,added,Peyton Hillis,,,RB,True
2011,PCX,DPCX,added,DeSean Jackson,,,WR,True
2011,PCX,DPCX,added,Steve Johnson,,,WR,True
2011,PCX,DPCX,added,Ryan Longwell,,,K,True
2011,PCX,DPCX,added,Chargers D/ST,,,Bench,False
2011,PCX,DPCX,added,Eagles D/ST,,,D/ST,True
2011,PCX,DPCX,added,Aaron Hernandez,,,TE,True
2011,GFM,GFM,kept,LeSean McCoy,1,2,RB,True
2011,GFM,GFM,kept,Steven Jackson,3,2,RB,True
2011,GFM,GFM,kept,Roddy White,2,11,WR,True
2011,GFM,GFM,kept,Tony Gonzalez,12,11,TE,True
2011,GFM,GFM,kept,Jeremy Maclin,5,2,WR,True
2011,GFM,GFM,added,Lions D/ST,,,Bench,False
2011,GFM,GFM,added,Titus Young,,,Bench,False
2011,GFM,GFM,added,Tim Tebow,,,QB,True
2011,GFM,GFM,added,Matt Moore,,,Bench,False
2011,GFM,GFM,added,Jackie Battle,,,Bench,False
2011,GFM,GFM,added,Jason Hanson,,,K,True
2011,GFM,GFM,added,Denarius Moore,,,Bench,False
2011,GFM,GFM,added,Randall Cobb,,,WR,True
2011,GFM,GFM,added,Riley Cooper,,,Bench,False
2011,GFM,GFM,added,Donald Driver,,,Bench,False
2011,GFM,GFM,added,Broncos D/ST,,,D/ST,True
2011,GFM,GFM,dropped,James Jones,11,2,,
2011,GFM,GFM,dropped,Vikings D/ST,15,2,,
2011,GFM,GFM,dropped,Daniel Thomas,7,2,,
2011,GFM,GFM,dropped,Josh Freeman,8,11,,
2011,GFM,GFM,dropped,Sidney Rice,6,11,,
2011,GFM,GFM,dropped,Kevin Kolb,9,2,,
2011,GFM,GFM,dropped,LaDainian Tomlinson,13,2,,
2011,GFM,GFM,dropped,Alex Henery,14,11,,
2011,GFM,GFM,dropped,Roy Helu,10,11,,
2011,GFM,GFM,dropped,Bernard Berrian,16,11,,
2011,GFM,GFM,dropped,Brandon Marshall,4,11,,
2011,2SCM,2SCM,kept,Maurice Jones-Drew,1,3,RB,True
2011,2SCM,2SCM,kept,Percy Harvin,4,10,WR,True
2011,2SCM,2SCM,kept,Jason Witten,6,10,TE,True
2011,2SCM,2SCM,kept,Cedric Benson,7,3,Bench,False
2011,2SCM,2SCM,kept,Matt Ryan,3,3,QB,True
2011,2SCM,2SCM,kept,Frank Gore,2,10,RB,True
2011,2SCM,2SCM,added,Demaryius Thomas,,,Bench,False
2011,2SCM,2SCM,added,Greg Olsen,,,Bench,False
2011,2SCM,2SCM,added,49ers D/ST,,,D/ST,True
2011,2SCM,2SCM,added,Ryan Fitzpatrick,,,Bench,False
2011,2SCM,2SCM,added,Pierre Garcon,,,Bench,False
2011,2SCM,2SCM,added,Rex Grossman,,,Bench,False
2011,2SCM,2SCM,added,Marques Colston,,,WR,True
2011,2SCM,2SCM,added,Victor Cruz,,,WR,True
2011,2SCM,2SCM,added,Nick Folk,,,Bench,False
2011,2SCM,2SCM,added,David Akers,,,K,True
2011,2SCM,2SCM,dropped,Plaxico Burress,8,10,,
2011,2SCM,2SCM,dropped,Wes Welker,5,3,,
2011,2SCM,2SCM,dropped,Mark Sanchez,11,3,,
2011,2SCM,2SCM,dropped,Garrett Hartley,13,3,,
2011,2SCM,2SCM,dropped,Eagles D/ST,9,3,,
2011,2SCM,2SCM,dropped,Toby Gerhart,14,10,,
2011,2SCM,2SCM,dropped,Donald Driver,12,10,,
2011,2SCM,2SCM,dropped,Mike Tolbert,10,10,,
2011,2SCM,2SCM,dropped,Jerome Simpson,15,3,,
2011,2SCM,2SCM,dropped,Brandon Pettigrew,16,10,,
2011,BBWZ,BBWZ,kept,Mike Williams,5,4,Bench,False
2011,BBWZ,BBWZ,kept,Ray Rice,1,4,RB,True
2011,BBWZ,BBWZ,kept,Mason Crosby,12,9,K,True
2011,BBWZ,BBWZ,kept,Miles Austin,3,4,WR,True
2011,BBWZ,BBWZ,kept,Heath Miller,14,9,TE,True
2011,BBWZ,BBWZ,kept,Philip Rivers,2,9,QB,True
2011,BBWZ,BBWZ,added,Maurice Morris,,,Bench,False
2011,BBWZ,BBWZ,added,Malcom Floyd,,,WR,True
2011,BBWZ,BBWZ,added,Harry Douglas,,,Bench,False
2011,BBWZ,BBWZ,added,Redskins D/ST,,,D/ST,True
2011,BBWZ,BBWZ,added,Kyle Williams,,,Bench,False
2011,BBWZ,BBWZ,added,Antonio Brown,,,WR,True
2011,BBWZ,BBWZ,added,Jake Locker,,,Bench,False
2011,BBWZ,BBWZ,added,Roy Helu,,,RB,True
2011,BBWZ,BBWZ,added,Reggie Bush,,,Bench,False
