season_year,team_code,team_draft_code,change_type,player_name,draft_round,draft_pick,final_slot,final_is_starter
2017,PCX,DPCX,kept,Kirk Cousins,9,7,Bench,False
2017,PCX,DPCX,kept,Leonard Fournette,2,6,RB,True
2017,PCX,DPCX,kept,Travis Kelce,4,6,TE,True
2017,PCX,DPCX,kept,Keenan Allen,5,7,WR,True
2017,PCX,DPCX,kept,Doug Baldwin,3,7,WR,True
2017,PCX,DPCX,kept,Russell Wilson,6,6,QB,True
2017,PCX,DPCX,added,Dion Lewis,,,FLEX,True
2017,PCX,DPCX,added,Robbie Gould,,,K,True
2017,PCX,DPCX,added,Benjamin Watson,,,Bench,False
2017,PCX,DPCX,added,Mohamed Sanu,,,Bench,False
2017,PCX,DPCX,added,Rams D/ST,,,Bench,False
2017,PCX,DPCX,added,Ravens D/ST,,,D/ST,True
2017,PCX,DPCX,added,Alfred Morris,,,Bench,False
2017,PCX,DPCX,added,Peyton Barber,,,Bench,False
2017,PCX,DPCX,added,Jerick McKinnon,,,Bench,False
2017,PCX,DPCX,added,Ezekiel Elliott,,,RB,True
2017,PCX,DPCX,dropped,Darren Sproles,16,6,,
2017,PCX,DPCX,dropped,Jeremy Hill,11,7,,
2017,PCX,DPCX,dropped,Brandon Marshall,7,7,,
2017,PCX,DPCX,dropped,Zay Jones,15,7,,
2017,PCX,DPCX,dropped,Curtis Samuel,14,6,,
2017,PCX,DPCX,dropped,LeSean McCoy,1,7,,
2017,PCX,DPCX,dropped,Cameron Meredith,10,6,,
2017,PCX,DPCX,dropped,John Ross,13,7,,
2017,PCX,DPCX,dropped,O.J. Howard,12,6,,
2017,PCX,DPCX,dropped,Jamison Crowder,8,6,,
2017,GFM,GFM,kept,DeSean Jackson,6,3,Bench,False
2017,GFM,GFM,kept,Alvin Kamara,15,10,RB,True
2017,GFM,GFM,kept,Devonta Freeman,1,10,FLEX,True
2017,GFM,GFM,kept,Tyrod Taylor,14,3,Bench,False
2017,GFM,GFM,kept,Eric Ebron,13,10,TE,True
2017,GFM,GFM,added,Amari Cooper,,,Bench,False
2017,GFM,GFM,added,Panthers D/ST,,,Bench,False
2017,GFM,GFM,added,Charles Clay,,,Bench,False
2017,GFM,GFM,added,Keelan Cole,,,WR,True
2017,GFM,GFM,added,Danny Amendola,,,Bench,False
2017,GFM,GFM,added,LeSean McCoy,,,RB,True
2017,GFM,GFM,added,Saints D/ST,,,D/ST,True
2017,GFM,GFM,added,Stefon Diggs,,,WR,True
2017,GFM,GFM,added,Case Keenum,,,QB,True
2017,GFM,GFM,added,Dede Westbrook,,,Bench,False
2017,GFM,GFM,added,Chris Boswell,,,K,True
2017,GFM,GFM,dropped,Ameer Abdullah,5,10,,
2017,GFM,GFM,dropped,Jameis Winston,8,3,,
2017,GFM,GFM,dropped,Dalvin Cook,3,10,,
2017,GFM,GFM,dropped,Todd Gurley II,2,3,,
2017,GFM,GFM,dropped,D'Onta Foreman,16,3,,
2017,GFM,GFM,dropped,Donte Moncrief,9,10,,
2017,GFM,GFM,dropped,Eric Decker,7,10,,
2017,GFM,GFM,dropped,Cardinals D/ST,12,3,,
2017,GFM,GFM,dropped,Allen Robinson,4,3,,
2017,GFM,GFM,dropped,De'Angelo Henderson,11,10,,
2017,GFM,GFM,dropped,Jonathan Williams,10,3,,
2017,MXLB,MXBN,kept,Carson Wentz,11,3,Bench,False
2017,MXLB,MXBN,kept,Bilal Powell,4,10,Bench,False
2017,MXLB,MXBN,kept,Austin Hooper,10,10,TE,True
2017,MXLB,MXBN,kept,Mark Ingram,5,3,RB,True
2017,MXLB,MXBN,kept,Lamar Miller,3,3,RB,True
2017,MXLB,MXBN,kept,C.J. Anderson,7,3,FLEX,True
2017,MXLB,MXBN,kept,John Brown,9,3,Bench,False
2017,MXLB,MXBN,kept,Vikings D/ST,8,10,D/ST,True
2017,MXLB,MXBN,kept,Dez Bryant,2,10,WR,True
2017,MXLB,MXBN,kept,Antonio Brown,1,3,Bench,False
2017,MXLB,MXBN,added,Josh Gordon,,,WR,True
2017,MXLB,MXBN,added,Eli Manning,,,Bench,False
2017,MXLB,MXBN,added,Jimmy Garoppolo,,,QB,True
2017,MXLB,MXBN,added,Nick Foles,,,Bench,False
2017,MXLB,MXBN,added,Colts D/ST,,,Bench,False
2017,MXLB,MXBN,added,Kai Forbath,,,K,True
2017,MXLB,MXBN,dropped,Rob Kelley,13,3,,
2017,MXLB,MXBN,dropped,Laquon Treadwell,14,10,,
2017,MXLB,MXBN,dropped,Corey Davis,6,10,,
2017,MXLB,MXBN,dropped,Carson Palmer,15,3,,
2017,MXLB,MXBN,dropped,C.J. Prosise,12,10,,
2017,BRIM,BRIM,kept,Danny Woodhead,9,6,Bench,False
2017,BRIM,BRIM,kept,Tyreek Hill,3,6,Bench,False
2017,BRIM,BRIM,kept,Kyle Rudolph,6,7,Bench,False
2017,BRIM,BRIM,kept,Matt Prater,13,6,K,True
2017,BRIM,BRIM,kept,Philip Rivers,12,7,Bench,False
2017,BRIM,BRIM,kept,Larry Fitzgerald,5,6,FLEX,True
2017,BRIM,BRIM,kept,Matthew Stafford,7,6,QB,True
2017,BRIM,BRIM,kept,Seahawks D/ST,11,6,D/ST,True
2017,BRIM,BRIM,kept,Marshawn Lynch,2,7,RB,True
2017,BRIM,BRIM,kept,Latavius Murray,8,7,RB,True
2017,BRIM,BRIM,kept,Julio Jones,1,6,WR,True
2017,BRIM,BRIM,kept,Adam Thielen,10,7,WR,True
2017,BRIM,BRIM,added,Ryan Grant,,,Bench,False
2017,BRIM,BRIM,added,Jack Doyle,,,TE,True
2017,BRIM,BRIM,added,LeGarrette Blount,,,Bench,False
2017,BRIM,BRIM,added,Ted Ginn Jr.,,,Bench,False
2017,BRIM,BRIM,dropped,A.J. Derby,14,7,,
2017,BRIM,BRIM,dropped,Cole Beasley,15,6,,
2017,BRIM,BRIM,dropped,Eddie Lacy,4,7,,
2017,SSS,SSS,kept,Joe Mixon,3,8,Bench,False
2017,SSS,SSS,kept,Rishard Matthews,7,8,Bench,False
2017,SSS,SSS,kept,Mike Evans,1,8,WR,True
2017,SSS,SSS,kept,Golden Tate,4,5,WR,True
2017,SSS,SSS,kept,Isaiah Crowell,6,5,FLEX,True
2017,SSS,SSS,kept,Melvin Gordon,2,5,RB,True
2017,SSS,SSS,kept,Jared Goff,16,5,Bench,False
2017,SSS,SSS,added,Redskins D/ST,,,D/ST,True
2017,SSS,SSS,added,Jesse James,,,TE,True
2017,SSS,SSS,added,Orleans Darkwa,,,Bench,False
2017,SSS,SSS,added,Chris Ivory,,,Bench,False
2017,SSS,SSS,added,Marquise Goodwin,,,Bench,False
2017,SSS,SSS,added,Josh Lambo,,,K,True
2017,SSS,SSS,added,Ben Roethlisberger,,,QB,True
2017,SSS,SSS,added,Theo Riddick,,,RB,True
2017,SSS,SSS,added,Corey Coleman,,,Bench,False
2017,SSS,SSS,dropped,Eli Manning,11,8,,
2017,SSS,SSS,dropped,Chris Carson,12,5,,
2017,SSS,SSS,dropped,Jason Witten,13,8,,
2017,SSS,SSS,dropped,Willie Snead,10,5,,
2017,SSS,SSS,dropped,Pierre Garcon,9,8,,
2017,SSS,SSS,dropped,Hunter Henry,8,5,,
2017,SSS,SSS,dropped,Chris Boswell,15,8,,
2017,SSS,SSS,dropped,Steelers D/ST,14,5,,
2017,SSS,SSS,dropped,Martavis Bryant,5,8,,
2017,PITB,PTB,kept,Dak Prescott,10,1,Bench,False
2017,PITB,PTB,kept,Jordan Howard,1,12,RB,True
2017,PITB,PTB,kept,Demaryius Thomas,3,12,WR,True
2017,PITB,PTB,kept,Giovani Bernard,11,12,Bench,False
2017,PITB,PTB,kept,Jay Ajayi,2,1,RB,True
2017,PITB,PTB,kept,Adam Vinatieri,13,12,Bench,False
2017,PITB,PTB,kept,Michael Crabtree,5,12,WR,True
2017,PITB,PTB,kept,Cam Newton,7,12,QB,True
2017,PITB,PTB,kept,Jaguars D/ST,14,1,D/ST,True
2017,PITB,PTB,kept,Jordan Matthews,16,1,Bench,False
2017,PITB,PTB,kept,Zach Ertz,9,12,TE,True
2017,PITB,PTB,kept,Duke Johnson Jr.,15,12,Bench,False
2017,PITB,PTB,added,Devin Funchess,,,FLEX,True
2017,PITB,PTB,added,Ed Dickson,,,Bench,False
2017,PITB,PTB,added,Nick Rose,,,K,True
2017,PITB,PTB,added,Sterling Shepard,,,Bench,False
2017,PITB,PTB,dropped,Anquan Boldin,12,1,,
2017,PITB,PTB,dropped,Terrelle Pryor Sr.,4,1,,
2017,PITB,PTB,dropped,Paul Perkins,8,1,,
2017,PITB,PTB,dropped,Julian Edelman,6,1,,
2017,JAGB,JAG,kept,Derrick Henry,7,5,RB,True
2017,JAGB,JAG,kept,DeAndre Hopkins,3,5,Bench,False
2017,JAGB,JAG,kept,Randall Cobb,9,5,Bench,False
2017,JAGB,JAG,kept,Tevin Coleman,6,8,FLEX,True
2017,JAGB,JAG,kept,Matt Bryant,13,5,K,True
2017,JAGB,JAG,kept,DeMarco Murray,2,8,Bench,False
2017,JAGB,JAG,kept,Rob Gronkowski,1,5,TE,True
2017,JAGB,JAG,added,Jason Witten,,,Bench,False
2017,JAGB,JAG,added,Jake Elliott,,,Bench,False
2017,JAGB,JAG,added,Eagles D/ST,,,Bench,False
2017,JAGB,JAG,added,Mike Davis,,,RB,True
2017,JAGB,JAG,added,Blake Bortles,,,QB,True
2017,JAGB,JAG,added,Patriots D/ST,,,D/ST,True
2017,JAGB,JAG,added,Rod Smith,,,Bench,False
2017,JAGB,JAG,added,Will Fuller V,,,WR,True
2017,JAGB,JAG,added,Martavis Bryant,,,WR,True
2017,JAGB,JAG,dropped,Texans D/ST,11,5,,
2017,JAGB,JAG,dropped,Jarvis Landry,4,8,,
2017,JAGB,JAG,dropped,Adrian Peterson,5,5,,
2017,JAGB,JAG,dropped,Coby Fleener,15,5,,
2017,JAGB,JAG,dropped,Ben Roethlisberger,10,8,,
2017,JAGB,JAG,dropped,Allen Hurns,14,8,,
2017,JAGB,JAG,dropped,Torrey Smith,12,8,,
2017,JAGB,JAG,dropped,Andrew Luck,8,8,,
