season_year,week,phase,estimated_transactions,confidence
2011,1,regular_season,14,medium
2011,2,regular_season,11,medium
2011,3,regular_season,11,medium
2011,4,regular_season,9,medium
2011,5,regular_season,11,medium
2011,6,regular_season,14,medium
2011,7,regular_season,15,medium
2011,8,regular_season,13,medium
2011,9,regular_season,12,medium
2011,10,regular_season,14,medium
2011,11,regular_season,14,high
2011,12,regular_season,11,high
2011,13,regular_season,10,high
2011,14,playoffs,9,high
2011,15,playoffs,8,high
2011,16,playoffs,9,high
2012,1,regular_season,13,medium
2012,2,regular_season,10,medium
2012,3,regular_season,10,medium
2012,4,regular_season,8,medium
2012,5,regular_season,10,medium
2012,6,regular_season,13,medium
2012,7,regular_season,13,medium
2012,8,regular_season,12,medium
2012,9,regular_season,11,medium
2012,10,regular_season,12,medium
2012,11,regular_season,12,high
2012,12,regular_season,10,high
2012,13,regular_season,9,high
2012,14,playoffs,8,high
2012,15,playoffs,7,high
2012,16,playoffs,8,high
2013,1,regular_season,13,medium
2013,2,regular_season,10,medium
2013,3,regular_season,10,medium
2013,4,regular_season,9,medium
2013,5,regular_season,10,medium
2013,6,regular_season,13,medium
2013,7,regular_season,14,medium
2013,8,regular_season,12,medium
2013,9,regular_season,11,medium
2013,10,regular_season,13,medium
2013,11,regular_season,13,high
2013,12,regular_season,10,high
2013,13,regular_season,9,high
2013,14,playoffs,8,high
2013,15,playoffs,7,high
2013,16,playoffs,8,high
2014,1,regular_season,14,medium
2014,2,regular_season,10,medium
2014,3,regular_season,11,medium
2014,4,regular_season,9,medium
2014,5,regular_season,10,medium
2014,6,regular_season,14,medium
2014,7,regular_season,14,medium
2014,8,regular_season,13,medium
2014,9,regular_season,12,medium
2014,10,regular_season,13,medium
2014,11,regular_season,13,high
2014,12,regular_season,11,high
2014,13,regular_season,10,high
2014,14,playoffs,8,high
2014,15,playoffs,8,high
2014,16,playoffs,9,high
2015,1,regular_season,15,medium
2015,2,regular_season,11,medium
2015,3,regular_season,11,medium
2015,4,regular_season,9,medium
2015,5,regular_season,11,medium
2015,6,regular_season,15,medium
2015,7,regular_season,15,medium
2015,8,regular_season,13,medium
2015,9,regular_season,12,medium
2015,10,regular_season,14,medium
2015,11,regular_season,14,high
2015,12,regular_season,12,high
2015,13,regular_season,10,high
2015,14,playoffs,9,high
2015,15,playoffs,8,high
2015,16,playoffs,9,high
2016,1,regular_season,13,medium
2016,2,regular_season,10,medium
2016,3,regular_season,10,medium
2016,4,regular_season,8,medium
2016,5,regular_season,10,medium
2016,6,regular_season,13,medium
2016,7,regular_season,13,medium
2016,8,regular_season,12,medium
2016,9,regular_season,11,medium
2016,10,regular_season,12,medium
2016,11,regular_season,12,high
2016,12,regular_season,10,high
2016,13,regular_season,9,high
2016,14,playoffs,8,high
2016,15,playoffs,7,high
2016,16,playoffs,8,high
2017,1,regular_season,13,medium
2017,2,regular_season,10,medium
2017,3,regular_season,10,medium
2017,4,regular_season,9,medium
2017,5,regular_season,10,medium
2017,6,regular_season,13,medium
2017,7,regular_season,14,medium
2017,8,regular_season,12,medium
2017,9,regular_season,11,medium
2017,10,regular_season,13,medium
2017,11,regular_season,13,high
2017,12,regular_season,10,high
2017,13,regular_season,9,high
2017,14,playoffs,8,high
2017,15,playoffs,7,high
2017,16,playoffs,8,high
2018,1,regular_season,1,medium
2018,2,regular_season,1,medium
2018,3,regular_season,1,medium
2018,4,regular_season,1,medium
2018,5,regular_season,1,medium
2018,6,regular_season,1,medium
2018,7,regular_season,1,medium
2018,8,regular_season,1,medium
2018,9,regular_season,1,medium
2018,10,regular_season,1,medium
2018,11,regular_season,1,high
2018,12,regular_season,1,high
2018,13,regular_season,1,high
2018,14,playoffs,1,high
2018,15,playoffs,1,high
2018,16,playoffs,1,high
