season_year,week,team_code,change_type,player_name,previous_week,draft_round,draft_pick,slot_type,is_starter
2019,1,CHLK,draft_kept,Davante Adams,,2,8,starters,False
2019,1,CHLK,draft_kept,Tyrell Williams,,14,8,bench,False
2019,1,CHLK,draft_kept,Broncos D/ST,,13,5,starters,False
2019,1,CHLK,draft_kept,Darwin Thompson,,11,5,bench,False
2019,1,CHLK,draft_kept,Rashaad Penny,,7,5,bench,False
2019,1,CHLK,draft_kept,David Montgomery,,4,8,starters,False
2019,1,CHLK,draft_kept,Drew Brees,,8,8,starters,False
2019,1,CHLK,draft_kept,David Johnson,,1,8,starters,False
2019,1,CHLK,draft_kept,Stefon Diggs,,3,5,starters,False
2019,1,CHLK,draft_kept,Dante Pettis,,9,5,bench,False
2019,1,CHLK,draft_kept,Mike Williams,,6,8,starters,False
2019,1,CHLK,draft_kept,Evan Engram,,5,5,starters,False
2019,1,CHLK,added,Josh Lambo,,,,starters,False
2019,1,CHLK,added,Dion Lewis,,,,bench,False
2019,1,CHLK,added,T.J. Hockenson,,,,bench,False
2019,1,CHLK,added,Jimmy Garoppolo,,,,bench,False
2019,1,CHLK,dropped,Mike Davis,0,16,8,,
2019,1,CHLK,dropped,Andrew Luck,0,10,8,,
2019,1,CHLK,dropped,Jerick Mckinnon,0,12,8,,
2019,1,CHLK,dropped,Robbie Gould,0,15,5,,
2019,2,CHLK,added,Terry McLaurin,,,,bench,False
2019,2,CHLK,added,Panthers D/ST,,,,starters,False
2019,2,CHLK,added,Raheem Mostert,,,,bench,False
2019,2,CHLK,dropped,Dante Pettis,1,9,5,,
2019,2,CHLK,dropped,Darwin Thompson,1,11,5,,
2019,2,CHLK,dropped,Dion Lewis,1,15,11,,
2019,3,CHLK,added,Josh Allen,,,,bench,False
2019,3,CHLK,added,Bills D/ST,,,,starters,False
2019,3,CHLK,dropped,Broncos D/St,2,13,5,,
2019,3,CHLK,dropped,Drew Brees,2,8,8,,
2019,4,CHLK,added,Colts D/ST,,,,starters,False
2019,4,CHLK,added,Ka'imi Fairbairn,,16,11,starters,False
2019,4,CHLK,dropped,Josh Lambo,3,,,,
2019,4,CHLK,dropped,Panthers D/St,3,,,,
2019,5,CHLK,added,Josh Lambo,,,,starters,False
2019,5,CHLK,added,Dante Pettis,,9,5,bench,False
2019,5,CHLK,added,Diontae Johnson,,,,starters,False
2019,5,CHLK,dropped,Colts D/St,4,,,,
2019,5,CHLK,dropped,Josh Allen,4,,,,
2019,5,CHLK,dropped,Ka'Imi Fairbairn,4,16,11,,
2019,6,CHLK,added,Broncos D/ST,,13,5,starters,False
2019,6,CHLK,added,Rhett Ellison,,,,starters,False
2019,6,CHLK,dropped,Dante Pettis,5,9,5,,
2019,6,CHLK,dropped,Diontae Johnson,5,,,,
2019,7,CHLK,added,Sam Darnold,,,,bench,False
2019,7,CHLK,dropped,Rhett Ellison,6,,,,
2019,8,CHLK,added,Tarik Cohen,,7,9,starters,False
2019,8,CHLK,added,Lamar Jackson,,10,4,bench,False
2019,8,CHLK,added,Ryan Tannehill,,,,starters,False
2019,8,CHLK,dropped,Raheem Mostert,7,,,,
2019,8,CHLK,dropped,Stefon Diggs,7,3,5,,
