season_year,week,team_code,change_type,player_name,previous_week,draft_round,draft_pick,slot_type,is_starter
2024,1,LNO,draft_kept,Josh Downs,,15,1,bench,False
2024,1,LNO,draft_kept,Adam Thielen,,12,12,bench,False
2024,1,LNO,draft_kept,Stefon Diggs,,4,12,starters,False
2024,1,LNO,draft_kept,Courtland Sutton,,10,12,bench,False
2024,1,LNO,draft_kept,George Kittle,,6,12,starters,False
2024,1,LNO,draft_kept,Chris Olave,,2,1,starters,False
2024,1,LNO,draft_kept,Tony Pollard,,7,1,starters,False
2024,1,LNO,draft_kept,T.J. Hockenson,,9,1,bench,False
2024,1,LNO,draft_kept,Jahan Dotson,,14,12,bench,False
2024,1,LNO,draft_kept,Cooper Kupp,,5,1,starters,False
2024,1,LNO,draft_kept,Braelon Allen,,11,1,starters,False
2024,1,LNO,draft_kept,Ezekiel Elliott,,8,12,bench,False
2024,1,LNO,draft_kept,Jalen Hurts,,3,1,starters,False
2024,1,LNO,draft_kept,Christian McCaffrey,,1,1,bench,False
2024,1,LNO,draft_kept,Harrison Butker,,13,1,starters,False
2024,1,LNO,added,Vikings D/ST,,,,starters,False
2024,1,LNO,dropped,Kendre Miller,0,16,12,,
2024,3,LNO,added,Colby Parkinson,,,,starters,False
2024,3,LNO,dropped,Courtland Sutton,2,10,12,,
2024,5,LNO,added,Deshaun Watson,,13,2,starters,False
2024,5,LNO,added,Tutu Atwell,,,,bench,False
2024,5,LNO,dropped,Colby Parkinson,4,,,,
2024,5,LNO,dropped,Adam Thielen,4,12,12,,
2024,6,LNO,added,Buccaneers D/ST,,,,starters,False
2024,6,LNO,added,Jake Elliott,,16,4,starters,False
2024,6,LNO,added,Darius Slayton,,,,bench,False
2024,6,LNO,dropped,Deshaun Watson,5,13,2,,
2024,6,LNO,dropped,Ezekiel Elliott,5,8,12,,
2024,6,LNO,dropped,Jahan Dotson,5,14,12,,
2024,7,LNO,added,Antonio Gibson,,11,11,starters,False
2024,7,LNO,dropped,Buccaneers D/St,6,,,,
2024,8,LNO,added,Romeo Doubs,,13,7,starters,False
2024,8,LNO,added,Justice Hill,,,,bench,False
2024,8,LNO,added,Roschon Johnson,,,,starters,False
2024,8,LNO,added,DeAndre Hopkins,,13,9,bench,False
2024,8,LNO,dropped,Braelon Allen,7,11,1,,
2024,8,LNO,dropped,Jake Elliott,7,16,4,,
2024,8,LNO,dropped,Darius Slayton,7,,,,
2024,8,LNO,dropped,Antonio Gibson,7,11,11,,
2024,9,LNO,added,Adam Thielen,,12,12,bench,False
2024,9,LNO,added,Ezekiel Elliott,,8,12,bench,False
2024,9,LNO,dropped,Tutu Atwell,8,,,,
2024,9,LNO,dropped,Stefon Diggs,8,4,12,,
2024,11,LNO,added,Audric Estime,,,,bench,False
2024,11,LNO,added,Blake Grupe,,,,starters,False
2024,11,LNO,dropped,Ezekiel Elliott,10,8,12,,
2024,11,LNO,dropped,Harrison Butker,10,13,1,,
2024,12,LNO,added,Jason Sanders,,16,6,starters,False
2024,12,LNO,dropped,Blake Grupe,11,,,,
2024,14,LNO,added,Devin Singletary,,8,1,starters,False
2024,14,LNO,added,Tre Tucker,,,,bench,False
2024,14,LNO,dropped,Christian Mccaffrey,13,1,1,,
2024,14,LNO,dropped,Audric Estime,13,,,,
2024,15,LNO,added,Jerome Ford,,9,11,starters,False
2024,15,LNO,added,Jaleel McLaughlin,,9,5,bench,False
2024,15,LNO,dropped,Chris Olave,14,2,1,,
2024,15,LNO,dropped,Tre Tucker,14,,,,
2024,17,LNO,added,Mason Rudolph,,,,starters,False
2024,17,LNO,dropped,Jaleel Mclaughlin,16,9,5,,
2024,1,WZRD,draft_kept,Alvin Kamara,,4,9,starters,False
2024,1,WZRD,draft_kept,Brandin Cooks,,14,9,bench,False
2024,1,WZRD,draft_kept,Jared Goff,,11,4,starters,False
2024,1,WZRD,draft_kept,De'Von Achane,,3,4,starters,False
2024,1,WZRD,draft_kept,Brandon Aubrey,,13,4,starters,False
2024,1,WZRD,draft_kept,DeVonta Smith,,5,4,starters,False
2024,1,WZRD,draft_kept,Mark Andrews,,6,9,bench,False
2024,1,WZRD,draft_kept,Aaron Rodgers,,12,9,bench,False
2024,1,WZRD,draft_kept,Amon-Ra St. Brown,,1,4,starters,False
2024,1,WZRD,draft_kept,Javonte Williams,,8,9,starters,False
2024,1,WZRD,draft_kept,Nick Chubb,,7,4,bench,False
2024,1,WZRD,draft_kept,Travis Kelce,,2,4,starters,False
2024,1,WZRD,draft_kept,Lions D/ST,,15,4,starters,False
2024,1,WZRD,draft_kept,Xavier Legette,,10,9,bench,False
2024,1,WZRD,draft_kept,Saints D/ST,,16,9,bench,False
2024,1,WZRD,draft_kept,Jayden Reed,,9,4,bench,False
2024,2,WZRD,added,Jaguars D/ST,,,,starters,False
2024,2,WZRD,dropped,Lions D/St,1,15,4,,
2024,3,WZRD,added,Geno Smith,,,,starters,False
2024,3,WZRD,added,Quentin Johnston,,,,bench,False
2024,3,WZRD,added,Texans D/ST,,16,8,bench,False
2024,3,WZRD,dropped,Jaguars D/St,2,,,,
2024,3,WZRD,dropped,Brandin Cooks,2,14,9,,
2024,3,WZRD,dropped,Aaron Rodgers,2,12,9,,
2024,4,WZRD,added,Andy Dalton,,,,bench,False
2024,4,WZRD,added,Clyde Edwards-Helaire,,,,bench,False
2024,4,WZRD,dropped,Texans D/St,3,16,8,,
2024,4,WZRD,dropped,Jared Goff,3,11,4,,
2024,6,WZRD,added,Kirk Cousins,,13,8,starters,False
2024,6,WZRD,dropped,Andy Dalton,5,,,,
2024,7,WZRD,added,Will Reichard,,,,starters,False
2024,7,WZRD,dropped,Clyde Edwards-Helaire,6,,,,
2024,8,WZRD,added,Chargers D/ST,,,,starters,False
2024,8,WZRD,dropped,Saints D/St,7,16,9,,
2024,11,WZRD,added,Dolphins D/ST,,,,starters,False
2024,11,WZRD,dropped,Chargers D/St,10,,,,
2024,12,WZRD,added,Anthony Richardson,,4,3,starters,False
2024,12,WZRD,dropped,Will Reichard,11,,,,
2024,13,WZRD,added,Cowboys D/ST,,12,7,starters,False
2024,13,WZRD,dropped,Dolphins D/St,12,,,,
2024,14,WZRD,added,Saints D/ST,,16,9,starters,False
2024,14,WZRD,dropped,Cowboys D/St,13,12,7,,
2024,15,WZRD,added,Jameis Winston,,,,starters,False
2024,15,WZRD,added,Jets D/ST,,12,2,starters,False
2024,15,WZRD,dropped,Saints D/St,14,16,9,,
2024,15,WZRD,dropped,Kirk Cousins,14,13,8,,
2024,16,WZRD,added,Michael Penix Jr.,,,,bench,False
2024,16,WZRD,added,Falcons D/ST,,,,starters,False
2024,16,WZRD,dropped,Jameis Winston,15,,,,
2024,16,WZRD,dropped,Jets D/St,15,12,2,,
2024,17,WZRD,added,Dolphins D/ST,,,,starters,False
2024,17,WZRD,dropped,Falcons D/St,16,,,,
2024,1,MXLB,draft_kept,Browns D/ST,,14,11,starters,False
2024,1,MXLB,draft_kept,DeMario Douglas,,12,11,bench,False
2024,1,MXLB,draft_kept,Michael Pittman Jr.,,5,2,starters,False
2024,1,MXLB,draft_kept,Chris Godwin,,7,2,bench,False
2024,1,MXLB,draft_kept,Cole Kmet,,11,2,starters,False
2024,1,MXLB,draft_kept,Khalil Herbert,,15,2,bench,False
2024,1,MXLB,draft_kept,CeeDee Lamb,,1,2,starters,False
2024,1,MXLB,draft_kept,Diontae Johnson,,8,11,bench,False
2024,1,MXLB,draft_kept,Tyjae Spears,,9,2,bench,False
2024,1,MXLB,draft_kept,Josh Allen,,3,2,starters,False
2024,1,MXLB,draft_kept,Ty Chandler,,10,11,bench,False
2024,1,MXLB,draft_kept,Deshaun Watson,,13,2,bench,False
2024,1,MXLB,draft_kept,Rachaad White,,2,2,starters,False
2024,1,MXLB,draft_kept,Aaron Jones,,4,11,starters,False
2024,1,MXLB,draft_kept,Rhamondre Stevenson,,6,11,starters,False
2024,1,MXLB,added,Cameron Dicker,,,,starters,False
2024,2,MXLB,added,Miles Sanders,,,,bench,False
2024,2,MXLB,added,Demarcus Robinson,,,,bench,False
2024,2,MXLB,added,Colby Parkinson,,,,starters,False
2024,2,MXLB,added,Matthew Stafford,,,,bench,False
2024,2,MXLB,dropped,Deshaun Watson,1,13,2,,
2024,2,MXLB,dropped,Demario Douglas,1,12,11,,
2024,2,MXLB,dropped,Cole Kmet,1,11,2,,
2024,2,MXLB,dropped,Khalil Herbert,1,15,2,,
2024,3,MXLB,added,Hunter Henry,,,,starters,False
2024,3,MXLB,dropped,Colby Parkinson,2,,,,
2024,4,MXLB,added,Mike Gesicki,,,,starters,False
2024,4,MXLB,added,Tyler Lockett,,12,6,bench,False
2024,4,MXLB,dropped,Demarcus Robinson,3,,,,
2024,4,MXLB,dropped,Hunter Henry,3,,,,
2024,5,MXLB,added,Austin Seibert,,,,starters,False
2024,5,MXLB,added,Pat Freiermuth,,15,5,starters,False
2024,5,MXLB,added,Antonio Gibson,,11,11,bench,False
2024,5,MXLB,dropped,Miles Sanders,4,,,,
2024,5,MXLB,dropped,Cameron Dicker,4,,,,
2024,5,MXLB,dropped,Mike Gesicki,4,,,,
2024,6,MXLB,added,Tank Bigsby,,,,starters,False
2024,6,MXLB,dropped,Matthew Stafford,5,,,,
