week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,FYOU,JGBM,121.84,89.94,FYOU,31.9
1,2,DKGG,BRIM,119.52,73.7,DKGG,45.82
1,3,PTBS,WTWZ,62.16,86.32,WTWZ,24.16
1,4,GRFM,SSS,128.42,111.14,GRFM,17.28
1,5,MRYJ,LNDS,98.94,52.8,MRYJ,46.14
1,6,DPCX,MXBN,120.64,88.54,DPCX,32.1
2,1,BRIM,PTBS,97.7,92.46,BRIM,5.24
2,2,DKGG,MRYJ,70.1,89.3,MRYJ,19.2
2,3,DPCX,JGBM,112.04,115.56,JGBM,3.52
2,4,WTWZ,SSS,96.12,76.3,WTWZ,19.82
2,5,MXBN,FYOU,100.82,59.16,MXBN,41.66
2,6,LNDS,GRFM,118.68,157.24,GRFM,38.56
3,1,DPCX,BRIM,85.9,140.72,BRIM,54.82
3,2,SSS,PTBS,133.94,105.82,SSS,28.12
3,3,WTWZ,LNDS,131.0,94.66,WTWZ,36.34
3,4,MXBN,DKGG,122.54,73.7,MXBN,48.84
3,5,JGBM,GRFM,100.88,102.72,GRFM,1.84
3,6,FYOU,MRYJ,80.9,99.08,MRYJ,18.18
4,1,MXBN,JGBM,67.96,89.14,JGBM,21.18
4,2,DPCX,WTWZ,103.08,62.64,DPCX,40.44
4,3,DKGG,FYOU,83.14,65.66,DKGG,17.48
4,4,SSS,MRYJ,105.28,100.2,SSS,5.08
4,5,LNDS,PTBS,83.12,100.86,PTBS,17.74
4,6,GRFM,BRIM,86.86,66.14,GRFM,20.72
5,1,JGBM,LNDS,65.24,67.24,LNDS,2.0
5,2,MRYJ,MXBN,101.42,78.48,MRYJ,22.94
5,3,SSS,FYOU,131.34,116.82,SSS,14.52
5,4,GRFM,PTBS,79.7,92.14,PTBS,12.44
5,5,WTWZ,BRIM,99.36,97.1,WTWZ,2.26
5,6,DPCX,DKGG,122.72,73.88,DPCX,48.84
6,1,BRIM,JGBM,119.02,43.28,BRIM,75.74
6,2,DKGG,SSS,111.98,171.14,SSS,59.16
6,3,PTBS,FYOU,91.3,76.3,PTBS,15.0
6,4,LNDS,MXBN,61.36,106.66,MXBN,45.3
6,5,DPCX,GRFM,89.84,100.88,GRFM,11.04
6,6,WTWZ,MRYJ,96.2,105.44,MRYJ,9.24
7,1,SSS,DPCX,118.8,141.8,DPCX,23.0
7,2,MXBN,WTWZ,79.54,123.94,WTWZ,44.4
7,3,FYOU,GRFM,87.88,106.4,GRFM,18.52
7,4,JGBM,MRYJ,78.24,100.48,MRYJ,22.24
7,5,DKGG,PTBS,108.02,120.18,PTBS,12.16
7,6,BRIM,LNDS,105.4,59.2,BRIM,46.2
8,1,LNDS,SSS,92.4,109.66,SSS,17.26
8,2,WTWZ,JGBM,134.94,84.28,WTWZ,50.66
8,3,MXBN,PTBS,66.78,80.38,PTBS,13.6
8,4,BRIM,MRYJ,101.64,75.78,BRIM,25.86
8,5,GRFM,DKGG,115.14,117.04,DKGG,1.9
8,6,FYOU,DPCX,88.02,117.9,DPCX,29.88
9,1,LNDS,DKGG,86.92,104.78,DKGG,17.86
9,2,FYOU,BRIM,114.48,76.86,FYOU,37.62
9,3,MRYJ,DPCX,131.7,94.94,MRYJ,36.76
9,4,SSS,MXBN,135.04,94.06,SSS,40.98
9,5,GRFM,WTWZ,114.16,105.0,GRFM,9.16
9,6,PTBS,JGBM,127.86,75.16,PTBS,52.7
10,1,FYOU,LNDS,80.08,95.74,LNDS,15.66
10,2,MXBN,BRIM,84.7,60.28,MXBN,24.42
10,3,MRYJ,GRFM,89.92,115.76,GRFM,25.84
10,4,PTBS,DPCX,94.22,104.9,DPCX,10.68
10,5,DKGG,WTWZ,92.78,100.42,WTWZ,7.64
10,6,JGBM,SSS,94.96,90.12,JGBM,4.84
