year,round,round_pick,team_abbrev,player_id,player_name,bid_amount,keeper,nominating_team
2017,1,1,MRYJ,15825,Le'Veon Bell,0.0,False,
2017,1,2,LNO,2508176,David Johnson,0.0,False,
2017,1,3,MXBN,13934,Antonio Brown,0.0,False,
2017,1,4,CHLK,16733,Odell Beckham Jr.,0.0,False,
2017,1,5,JAG,13229,Rob Gronkowski,0.0,False,
2017,1,6,BRIM,13982,Julio Jones,0.0,False,
2017,1,7,DPCX,12514,LeSean McCoy,0.0,False,
2017,1,8,SSS,16737,Mike Evans,0.0,False,
2017,1,9,WWZ,13983,A.J. Green,0.0,False,
2017,1,10,GFM,16944,Devonta Freeman,0.0,False,
2017,1,11,DKGG,11270,Jordy Nelson,0.0,False,
2017,1,12,PTB,3060022,Jordan Howard,0.0,False,
2017,2,1,PTB,2573300,Jay Ajayi,0.0,False,
2017,2,2,DKGG,8439,Aaron Rodgers,0.0,False,
2017,2,3,GFM,2977644,Todd Gurley II,0.0,False,
2017,2,4,WWZ,2976499,Amari Cooper,0.0,False,
2017,2,5,SSS,2576434,Melvin Gordon,0.0,False,
2017,2,6,DPCX,3115364,Leonard Fournette,0.0,False,
2017,2,7,BRIM,10456,Marshawn Lynch,0.0,False,
2017,2,8,JAG,14005,DeMarco Murray,0.0,False,
2017,2,9,CHLK,3117251,Christian McCaffrey,0.0,False,
2017,2,10,MXBN,13215,Dez Bryant,0.0,False,
2017,2,11,LNO,14924,T.Y. Hilton,0.0,False,
2017,2,12,MRYJ,3051392,Ezekiel Elliott,0.0,False,
2017,3,1,MRYJ,16731,Brandin Cooks,0.0,False,
2017,3,2,LNO,2330,Tom Brady,0.0,False,
2017,3,3,MXBN,14886,Lamar Miller,0.0,False,
2017,3,4,CHLK,16777,Carlos Hyde,0.0,False,
2017,3,5,JAG,15795,DeAndre Hopkins,0.0,False,
2017,3,6,BRIM,3116406,Tyreek Hill,0.0,False,
2017,3,7,DPCX,14221,Doug Baldwin,0.0,False,
2017,3,8,SSS,3116385,Joe Mixon,0.0,False,
2017,3,9,WWZ,14912,Alshon Jeffery,0.0,False,
2017,3,10,GFM,3116593,Dalvin Cook,0.0,False,
2017,3,11,DKGG,16730,Kelvin Benjamin,0.0,False,
2017,3,12,PTB,13216,Demaryius Thomas,0.0,False,
2017,4,1,PTB,14851,Terrelle Pryor Sr.,0.0,False,
2017,4,2,DKGG,15952,Mike Gillislee,0.0,False,
2017,4,3,GFM,16799,Allen Robinson,0.0,False,
2017,4,4,WWZ,11237,Matt Ryan,0.0,False,
2017,4,5,SSS,13217,Golden Tate,0.0,False,
2017,4,6,DPCX,15847,Travis Kelce,0.0,False,
2017,4,7,BRIM,15848,Eddie Lacy,0.0,False,
2017,4,8,JAG,16790,Jarvis Landry,0.0,False,
2017,4,9,CHLK,16800,Davante Adams,0.0,False,
2017,4,10,MXBN,14129,Bilal Powell,0.0,False,
2017,4,11,LNO,2577134,Ty Montgomery,0.0,False,
2017,4,12,MRYJ,2580,Drew Brees,0.0,False,
2017,5,1,MRYJ,2976212,Stefon Diggs,0.0,False,
2017,5,2,LNO,16725,Sammy Watkins,0.0,False,
2017,5,3,MXBN,13981,Mark Ingram,0.0,False,
2017,5,4,CHLK,13232,Jimmy Graham,0.0,False,
2017,5,5,JAG,10452,Adrian Peterson,0.0,False,
2017,5,6,BRIM,5528,Larry Fitzgerald,0.0,False,
2017,5,7,DPCX,15818,Keenan Allen,0.0,False,
2017,5,8,SSS,16886,Martavis Bryant,0.0,False,
2017,5,9,WWZ,15860,Jordan Reed,0.0,False,
2017,5,10,GFM,2576336,Ameer Abdullah,0.0,False,
2017,5,11,DKGG,3059915,Kareem Hunt,0.0,False,
2017,5,12,PTB,12563,Michael Crabtree,0.0,False,
2017,6,1,PTB,12649,Julian Edelman,0.0,False,
2017,6,2,DKGG,10475,Greg Olsen,0.0,False,
