season_year,week,player_id,player_name,team_id,team_code,stat_id,stat_name,original_value,corrected_value,points_impact,correction_date
2025,1,,Michael Penix Jr.AtlQBIR,,,,40+ yard TD pass bonus (PTD40),+1,,,
2025,1,,Falcons D/STAtlD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,1,,Broncos D/STDenD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,1,,Lions D/STDetD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,1,,Titans D/STTenD/ST,,,,Solo Tackles (TKS),+1,,,
2025,1,,Raiders D/STLVD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,1,,Cardinals D/STAriD/ST,,,,Assisted Tackles (TKA),+4,,,
2025,1,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,1,,49ers D/STSFD/ST,,,,Passes Defensed (PD),+1,,,
2025,1,,Commanders D/STWshD/ST,,,,Passes Defensed (PD),+1,,,
2025,1,,Jaguars D/STJaxD/ST,,,,Assisted Tackles (TKA),+4,,,
2025,2,,Keenan AllenLACWR,,,,Receptions (REC),+5,,,
2025,2,,Geno SmithLVQB,,,,Each Pass Attempted (A),+43,,,
2025,2,,Omarion HamptonLACRB,,,,Rushing Attempts (CAR),+8,,,
2025,2,,Tyler ConklinLACTE,,,,Team Win (TW),+1,,,
2025,2,,Jakobi MeyersJaxWR,,,,Receptions (REC),+6,,,
2025,2,,Tre' HarrisLACWRQ,,,,Receptions (REC),+2,,,
2025,2,,Justin ShorterFAWR,,,,Team Loss (TL),+1,,,
2025,2,,Zamir WhiteLVRB,,,,Rushing Attempts (CAR),+2,,,
2025,2,,Alex BachmanLVWR,,,,Receiving Target (TAR),-1,,,
2025,2,,Cameron DickerLACK,,,,FG Made (0-39 yards) (FG39),+2,,,
2025,2,,Daniel CarlsonLVK,,,,FG Made (50+ yards) (FG50+),+1,,,
2025,2,,Tre TuckerLVWR,,,,Rushing Attempts (CAR),+1,,,
2025,2,,Ben SkowronekPitWRQ,,,,Assisted Tackles (TKA),+1,,,
