year,source,team_abbrev,count
2011,draft,2SCM,32
2011,draft,AC,32
2011,draft,BBRS,32
2011,draft,BBWZ,32
2011,draft,COCK,32
2011,draft,DKGG,32
2011,draft,GFM,32
2011,draft,GOW,32
2011,draft,KNAB,32
2011,draft,MJI,32
2011,draft,PTB,32
2011,draft,SWEE,32
2011,h2h,2SCM,25
2011,h2h,AC,22
2011,h2h,AWAY,2
2011,h2h,BBRS,28
2011,h2h,BBWZ,21
2011,h2h,COCK,21
2011,h2h,DKGG,27
2011,h2h,GFM,23
2011,h2h,GOW,25
2011,h2h,KNAB,23
2011,h2h,MJI,28
2011,h2h,PTB,20
2011,h2h,SWEE,23
2012,draft,2SCM,32
2012,draft,AC,32
2012,draft,BBRS,32
2012,draft,BBWZ,32
2012,draft,COCK,32
2012,draft,DKGG,32
2012,draft,GFM,32
2012,draft,GOW,32
2012,draft,KNAB,32
2012,draft,PTB,32
2012,draft,SWEE,32
2012,draft,mji,32
2012,h2h,2SCM,23
2012,h2h,AC,24
2012,h2h,AWAY,2
2012,h2h,BBRS,26
2012,h2h,BBWZ,20
2012,h2h,COCK,23
2012,h2h,DKGG,22
2012,h2h,GFM,29
2012,h2h,GOW,26
2012,h2h,KNAB,23
2012,h2h,PTB,27
2012,h2h,SWEE,21
2012,h2h,mji,24
2013,draft,ACHK,32
2013,draft,BRIM,32
2013,draft,COCK,32
2013,draft,DKGG,32
2013,draft,GRFM,32
2013,draft,JGBM,32
2013,draft,LNDS,32
2013,draft,MRYJ,32
2013,draft,MXBN,32
2013,draft,PTBS,32
2013,draft,SSS,32
2013,draft,WTWZ,32
2013,h2h,ACHK,26
2013,h2h,AWAY,2
2013,h2h,BRIM,23
2013,h2h,COCK,22
2013,h2h,DKGG,29
2013,h2h,GRFM,23
2013,h2h,JGBM,23
2013,h2h,LNDS,25
2013,h2h,MRYJ,24
2013,h2h,MXBN,23
2013,h2h,PTBS,24
2013,h2h,SSS,24
2013,h2h,WTWZ,22
2014,draft,BRIM,32
2014,draft,COCK,32
2014,draft,DKGG,32
2014,draft,FYOU,32
2014,draft,GRFM,32
2014,draft,JGBM,32
2014,draft,LNDS,32
2014,draft,MRYJ,32
2014,draft,MXBN,32
2014,draft,PTBS,32
2014,draft,SSS,32
2014,draft,WTWZ,32
2014,h2h,AWAY,2
2014,h2h,BRIM,24
2014,h2h,COCK,27
2014,h2h,DKGG,23
2014,h2h,FYOU,22
2014,h2h,GRFM,24
2014,h2h,JGBM,25
2014,h2h,LNDS,24
2014,h2h,MRYJ,24
2014,h2h,MXBN,27
2014,h2h,PTBS,22
2014,h2h,SSS,23
2014,h2h,WTWZ,24
2015,draft,BRIM,32
2015,draft,DKGG,32
2015,draft,DPCX,32
2015,draft,FYOU,32
2015,draft,GRFM,32
2015,draft,JGBM,32
2015,draft,LNDS,32
2015,draft,MRYJ,32
2015,draft,MXBN,32
2015,draft,PTBS,32
2015,draft,SSS,32
2015,draft,WTWZ,32
2015,h2h,AWAY,2
2015,h2h,BRIM,25
2015,h2h,DKGG,22
2015,h2h,DPCX,25
2015,h2h,FYOU,23
2015,h2h,GRFM,29
2015,h2h,JGBM,19
2015,h2h,LNDS,21
2015,h2h,MRYJ,27
2015,h2h,MXBN,23
2015,h2h,PTBS,24
2015,h2h,SSS,25
2015,h2h,WTWZ,26
2016,draft,BRIM,32
2016,draft,CHLK,32
2016,draft,DKGG,32
2016,draft,DPCX,32
2016,draft,GFM,32
2016,draft,JAG,32
2016,draft,LNO,32
2016,draft,MRYJ,32
2016,draft,MXBN,32
2016,draft,PTB,32
2016,draft,SSS,32
2016,draft,WWZ,32
2016,h2h,AWAY,2
2016,h2h,BRIM,25
2016,h2h,CHLK,30
2016,h2h,DKGG,22
2016,h2h,DPCX,24
2016,h2h,GFM,23
2016,h2h,JAG,25
2016,h2h,LNO,25
2016,h2h,MRYJ,24
2016,h2h,MXBN,25
2016,h2h,PTB,23
2016,h2h,SSS,22
2016,h2h,WWZ,21
2017,draft,BRIM,32
2017,draft,CHLK,32
